player,team_abbr,min_per100,pts_per100,reb_per100,ast_per100,stl_per100,blk_per100,tov_per100,name_key
Caleb Houstan,ATL,45.6,21.3,5.3,2.1,1.1,1.1,4.3,caleb houstan
Daniss Jenkins,DET,46.2,21.2,5.2,8.5,2.6,0.1,3.8,daniss jenkins
Jett Howard,ORL,47.6,21.2,5.9,3.6,0.8,0.6,1.0,jett howard
Eric Gordon,PHI,47.3,21.2,1.3,1.9,2.6,0.6,1.9,eric gordon
Malaki Branham,WAS,47.5,21.2,9.3,4.0,0.7,0.3,3.0,malaki branham
Pat Spencer,GSW,48.2,21.2,7.1,9.6,2.3,0.1,2.8,pat spencer
Jaylen Wells,MEM,46.8,21.0,6.1,3.1,1.6,0.2,1.8,jaylen wells
Ausar Thompson,DET,47.9,21.0,10.6,4.8,2.8,1.3,2.8,ausar thompson
Isaiah Stewart,DET,47.2,21.0,12.0,2.3,0.4,4.0,2.5,isaiah stewart
Tyrese Proctor,CLE,47.5,21.0,5.7,5.8,1.3,0.0,1.8,tyrese proctor
Day'Ron Sharpe,BKN,48.4,21.0,16.6,6.5,2.7,1.3,4.7,day ron sharpe
Myles Turner,MIL,47.8,20.9,9.0,2.7,1.3,2.7,1.6,myles turner
Vít Krejčí,ATL,46.8,20.8,4.3,3.2,1.4,0.6,1.5,vit krejci
Emanuel Miller,CHI,45.9,20.8,4.2,5.6,2.8,0.0,0.0,emanuel miller
Jamison Battle,TOR,47.5,20.8,8.2,2.2,1.0,0.2,1.9,jamison battle
Tre Jones,CHI,44.7,20.8,4.8,8.7,2.4,0.4,2.2,tre jones
Tre Mann,CHA,48.3,20.7,7.1,6.5,1.5,0.3,4.2,tre mann
Brook Lopez,LAC,49.8,20.7,7.8,2.4,1.0,2.9,2.7,brook lopez
E.J. Liddell,BKN,47.2,20.6,13.2,0.0,0.0,0.0,0.0,e j liddell
David Jones Garcia,SAS,43.3,20.6,7.7,11.6,3.9,0.6,3.2,david jones garcia
Corey Kispert,WAS,45.0,20.6,5.5,4.1,1.0,0.4,1.4,corey kispert
DeAndre Jordan,NOP,53.0,20.5,22.7,0.0,0.0,0.0,2.3,deandre jordan
Landry Shamet,NYK,46.3,20.5,4.4,2.7,0.9,0.4,1.0,landry shamet
Nae'Qwan Tomlin,CLE,48.2,20.4,9.2,2.0,2.3,2.1,1.1,nae qwan tomlin
Antonio Reeves,CHA,51.5,20.4,4.9,1.9,1.0,0.0,0.0,antonio reeves
Pat Connaughton,CHA,47.3,20.4,9.3,3.0,1.9,0.4,1.1,pat connaughton
Moses Moody,GSW,46.6,20.4,6.4,3.0,1.8,1.4,1.9,moses moody
Cole Anthony,MIL,46.6,20.3,8.0,11.4,2.0,0.9,5.9,cole anthony
Trendon Watford,PHI,46.2,20.2,10.5,8.1,1.0,0.5,3.4,trendon watford
Neemias Queta,BOS,49.7,20.2,15.5,3.1,1.6,2.5,1.7,neemias queta
Dalton Knecht,LAL,47.7,20.2,6.5,1.7,1.0,1.1,1.2,dalton knecht
Ace Bailey,UTA,46.0,20.0,6.3,3.0,1.4,0.7,2.4,ace bailey
Hunter Dickinson,NOP,47.2,20.0,0.0,0.0,0.0,10.0,20.0,hunter dickinson
Donte DiVincenzo,MIN,47.2,20.0,6.6,6.1,1.9,0.7,1.9,donte divincenzo
Kevin Love,UTA,46.1,20.0,14.1,4.9,1.0,1.0,1.9,kevin love
Quinten Post,GSW,47.5,20.0,10.8,3.8,1.5,1.5,2.1,quinten post
Zaccharie Risacher,ATL,45.3,19.9,5.5,2.7,1.8,1.0,1.6,zaccharie risacher
Danny Wolf,BKN,48.3,19.9,10.0,4.7,1.0,0.5,3.8,danny wolf
Bradley Beal,LAC,49.2,19.9,2.0,4.1,1.2,0.0,3.7,bradley beal
Nikola Jović,MIA,44.2,19.8,9.0,7.0,1.4,0.7,4.1,nikola jovic
Derrick Jones Jr.,LAC,48.8,19.8,4.7,2.3,1.7,2.2,1.5,derrick jones jr
Isaiah Hartenstein,OKC,47.5,19.8,18.3,5.2,2.0,1.3,3.7,isaiah hartenstein
Buddy Hield,GSW,46.4,19.8,6.6,3.8,2.1,0.3,2.8,buddy hield
Jordan Goodwin,PHX,48.1,19.7,10.5,4.7,3.3,0.4,2.8,jordan goodwin
Leonard Miller,MIN,42.5,19.7,10.2,3.1,1.6,0.0,3.9,leonard miller
Kyle Filipowski,UTA,46.0,19.7,12.9,4.5,1.1,1.1,2.4,kyle filipowski
Olivier-Maxence Prosper,MEM,44.8,19.6,8.5,3.4,0.7,0.2,2.2,olivier maxence prosper
Egor Dëmin,BKN,48.4,19.6,6.2,6.9,1.8,0.6,3.8,egor demin
Caris LeVert,DET,46.9,19.6,4.1,6.5,2.0,1.3,3.2,caris levert
Josh Hart,NYK,48.4,19.5,12.8,8.1,2.2,0.5,3.4,josh hart
Harrison Barnes,SAS,47.3,19.5,5.4,3.5,1.5,0.2,1.8,harrison barnes
Julian Strawther,DEN,46.5,19.4,6.3,2.8,0.3,0.3,2.2,julian strawther
Will Richard,GSW,46.7,19.4,6.7,2.8,2.6,0.2,1.8,will richard
Max Christie,DAL,46.9,19.4,5.6,3.5,0.8,0.7,1.9,max christie
Tidjane Salaün,CHA,48.0,19.4,11.8,2.6,1.6,0.7,1.7,tidjane salaun
Seth Curry,GSW,44.6,19.4,5.6,4.2,2.8,0.0,0.0,seth curry
Keegan Murray,SAC,48.1,19.3,8.0,1.9,1.8,2.1,1.4,keegan murray
Doug McDermott,SAC,45.7,19.3,3.7,0.9,0.0,0.9,1.8,doug mcdermott
Wendell Carter Jr.,ORL,47.2,19.2,11.8,3.1,1.1,1.1,2.0,wendell carter jr
Peyton Watson,DEN,47.2,19.2,8.0,2.4,1.7,1.7,2.2,peyton watson
Harrison Ingram,SAS,41.4,19.2,11.5,0.0,0.0,0.0,0.0,harrison ingram
Tyrese Martin,BKN,48.7,19.1,7.6,5.7,1.6,0.3,2.6,tyrese martin
De'Anthony Melton,GSW,48.0,19.1,5.2,5.0,4.2,1.5,3.5,de anthony melton
