Lineup #,SelScore,HitCount,Salary,ProjSum,MaxSimPts,Players,FD_IDs
58,1.7311,1,59900,330.09,495.4,Dyson Daniels (ATL) | Luka Doncic (LAL) | De'Anthony Melton (GSW) | Dillon Brooks (PHX) | Ausar Thompson (DET) | Jake LaRavia (LAL) | Jalen Williams (OKC) | Bobby Portis (MIL) | Paul Reed (DET),"125339-171784,125339-84669,125339-84703,125339-60233,125339-188426,125339-171757,125339-171760,125339-42156,125339-145329"
59,1.7307,1,59500,295.5,539.14,Kevin Porter Jr. (MIL) | Dyson Daniels (ATL) | Marcus Smart (LAL) | Nickeil Alexander-Walker (ATL) | VJ Edgecombe (PHI) | Aaron Wiggins (OKC) | Jarred Vanderbilt (LAL) | Chet Holmgren (OKC) | Alex Sarr (WAS),"125339-110345,125339-171784,125339-23670,125339-110356,125339-228133,125339-157829,125339-84721,125339-171759,125339-203764"
60,1.7299,1,59900,314.42,513.94,Jaden Ivey (DET) | Ajay Mitchell (OKC) | Tre Jones (CHI) | De'Anthony Melton (GSW) | Moses Moody (GSW) | Paul George (PHI) | Jalen Johnson (ATL) | Kawhi Leonard (LAC) | Alex Sarr (WAS),"125339-171780,125339-203808,125339-145323,125339-84703,125339-157802,125339-12341,125339-157833,125339-14513,125339-203764"
61,1.7297,1,59500,310.38,518.86,James Harden (LAC) | Jaden Ivey (DET) | Duncan Robinson (DET) | Dyson Daniels (ATL) | Brandon Ingram (TOR) | Julian Champagnie (SAS) | Jalen Williams (OKC) | Derik Queen (NOP) | Nic Claxton (BKN),"125339-9644,125339-171780,125339-85137,125339-171784,125339-66048,125339-172098,125339-171760,125339-228132,125339-110354"
62,1.7297,1,59000,318.03,509.01,Ajay Mitchell (OKC) | Tyrese Maxey (PHI) | Egor Demin (BKN) | Jaden Ivey (DET) | Kawhi Leonard (LAC) | Justin Champagnie (WAS) | Jarred Vanderbilt (LAL) | Scottie Barnes (TOR) | Paul Reed (DET),"125339-203808,125339-145331,125339-228109,125339-171780,125339-14513,125339-158855,125339-84721,125339-157822,125339-145329"
63,1.7296,1,59600,308.49,521.23,Amen Thompson (HOU) | Devin Booker (PHX) | Cason Wallace (OKC) | Derrick White (BOS) | Vit Krejci (ATL) | Lauri Markkanen (UTA) | Noah Clowney (BKN) | Derik Queen (NOP) | Paul Reed (DET),"125339-188405,125339-58460,125339-188415,125339-49675,125339-145540,125339-80812,125339-188431,125339-228132,125339-145329"
64,1.7296,1,60000,341.23,479.23,Luka Doncic (LAL) | Nickeil Alexander-Walker (ATL) | Jordan Goodwin (PHX) | Jaden Ivey (DET) | Terance Mann (BKN) | Caris LeVert (DET) | Jalen Johnson (ATL) | Lauri Markkanen (UTA) | Paul Reed (DET),"125339-84669,125339-110356,125339-160174,125339-171780,125339-110315,125339-23798,125339-157833,125339-80812,125339-145329"
65,1.7295,1,59800,286.05,549.75,Jeremiah Fears (NOP) | Ryan Rollins (MIL) | James Harden (LAC) | Julian Champagnie (SAS) | Kevin Durant (HOU) | Tari Eason (HOU) | Zion Williamson (NOP) | Harrison Barnes (SAS) | Robert Williams (POR),"125339-228131,125339-171772,125339-9644,125339-172098,125339-9646,125339-171769,125339-110310,125339-15946,125339-84708"
66,1.7293,1,59900,298.99,533.02,Shaedon Sharpe (POR) | Tre Jones (CHI) | James Harden (LAC) | Ajay Mitchell (OKC) | Lauri Markkanen (UTA) | Mikal Bridges (NYK) | Tristan Da Silva (ORL) | Derik Queen (NOP) | Moussa Diabate (CHA),"125339-171804,125339-145323,125339-9644,125339-203808,125339-80812,125339-84670,125339-203716,125339-228132,125339-171765"
67,1.7293,1,60000,313.53,514.38,Derrick White (BOS) | Tyrese Maxey (PHI) | Tre Jones (CHI) | Jaden Ivey (DET) | Bilal Coulibaly (WAS) | Justin Champagnie (WAS) | Scottie Barnes (TOR) | Derik Queen (NOP) | Mitchell Robinson (NYK),"125339-49675,125339-145331,125339-145323,125339-171780,125339-188416,125339-158855,125339-157822,125339-228132,125339-84709"
